Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Year Built,Energy Audit Due Date,Energy Audit Status,Benchmark 2017 Status,2017 Reason for Exemption,Benchmark 2016 Status,2016 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2010 Status,2010 Reason for Exemption,2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Percentage Better than National Median Source EUI,2017 Total GHG Emissions (Metric Tons CO2e),2017 Total GHG Emissions Intensity (kgCO2e/ft2),2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percentage Better than National Median Source EUI,2016 Total GHG Emissions (Metric Tons CO2e),2016 Total GHG Emissions Intensity (kgCO2e/ft2),2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
3520/029,321 11th ST,321 11TH ST,94103,"321 11TH ST
SAN FRANCISCO, CA 94103",12700,Office,http://propertymap.sfplanning.org/?&search=3520/029,1907,2019-04-01T00:00:00.000,Pending - Contracted,Complied,,Complied,,Complied,,Complied,,Exempt,Tenant Turnover,Exempt,Tenant Turnover,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,22,62.8,196.3,35.7,35.7,60.3,4.8,62.8,196.3,29,58,179.4,25.9,25.9,63.4,5,57.2,176.8,24,61.1,189.3,32.7,32.7,62.8,4.9,58.9,182.5,34,53.4,165.8,17.8,17.8,54.9,4.3,53.4,165.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
3520/043,1425 Folsom Street,1425 FOLSOM ST,94103,"1425 FOLSOM ST
SAN FRANCISCO, CA 94103",11260,Other - Entertainment/Public Assembly,http://propertymap.sfplanning.org/?&search=3520/043,1936,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,56,116.3,36.7,36.7,40.5,3.6,56,116.3,,65.3,133.3,56.6,56.6,50.8,4.5,65.3,133.3,,48.6,112.5,32.2,32.2,38.5,3.4,48.6,112.5,,27.5,68.7,-19.3,-19.3,22.6,2,25,60.8,,16.7,39.3,-53.9,-53.9,13.3,1.2,16.7,39.3,,,,,,,,,,,,,,,,,,
3521/013,398 11TH ST,398 11TH ST,94103,"398 11TH ST
SAN FRANCISCO, CA 94103",16689,Office,http://propertymap.sfplanning.org/?&search=3521/013,1916,2014-04-01T00:00:00.000,Did Not Comply,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,100,9.9,30.8,-79.2,-79.2,17.3,0.7,9.9,30.8,100,10.4,32.6,-77.7,-77.7,18.2,0.8,10.4,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3521/022,Ryan Associates,333 12TH ST,94103,"333 12TH ST
SAN FRANCISCO, CA 94103",21630,Office,http://propertymap.sfplanning.org/?&search=3521/022,1950,2013-04-01T00:00:00.000,Did Not Comply,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Exempt,SqFt Not Subject This Year,,,,,,,,,,,35.3,80.8,-45.4,-45.4,55.8,2.6,38.5,84.2,,36.4,93.6,-36.8,-36.8,61.1,2.8,37.9,95.2,,34.2,93.4,,,56.2,2.6,36,95.3,,35.5,87.4,-41,-41,58.2,2.7,35.5,87.4,,,,,,,,,,,,,,,,,,
3521/027,1585 FOLSOM ST,1585 FOLSOM ST,94103,"1585 FOLSOM ST
SAN FRANCISCO, CA 94103",16800,Office,http://propertymap.sfplanning.org/?&search=3521/027,1926,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,97,41.4,117.2,-64.1,-64.1,50.4,3,42.5,118.3,97,38.4,116.9,-64,-64,55,3.3,38.4,116.9,97,36.8,112.5,-65.3,-65.3,49.7,3,37.1,112.8,95,41.4,127.7,-60.3,-60.3,56.2,3.3,41.4,127.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
3523/001,1501 HARRISON ST,1501 HARRISON ST,94103,"1501 HARRISON ST
SAN FRANCISCO, CA 94103",29097,Other,http://propertymap.sfplanning.org/?&search=3523/001,1949,2020-04-01T00:00:00.000,Upcoming,Complied,,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,0.6,2,-98.4,-98.4,1.4,0,0.6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3524/066,San Francisco Costco,450 10TH ST,94103,"450 10TH ST
SAN FRANCISCO, CA 94103",132014,Supermarket/Grocery Store,http://propertymap.sfplanning.org/?&search=3524/066,1994,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,,146.3,339,,,1316.1,9.8,148.4,341.2,48,137.6,326.7,1.5,1.5,1352.4,10.2,139,328.2,36,144.7,374.1,19.1,19.1,1413.3,10.7,144.7,374.1,24,152.3,412.3,39.8,39.8,1521,11.5,153.2,413.2,17,157.7,421.9,55.1,55.1,1668.5,12.6,155.5,419.6,17,161.2,448.8,55.3,,1739.26,,159.5,444.6,,,,,,,,,
3525/001,1301 HARRISON ST,1301 HARRISON ST,94103,"1301 HARRISON ST
SAN FRANCISCO, CA 94103",22032,Retail Store,http://propertymap.sfplanning.org/?&search=3525/001,1926,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,16.1,44,-61.5,-61.5,25.3,1.1,16.8,44.8,,17.9,51,-55.4,-55.4,32.4,1.5,19,52.2,,17.1,47.3,-58.6,-58.6,28.9,1.3,18,48.2,,16,46.6,-59.3,-59.3,27.7,1.3,16,46.6,,18.9,50,-56.3,-56.3,31.1,1.4,18.2,49.3,,,,,,,,,,,,,,,,,,
3525/008,450 9TH ST,450 9TH ST,94103,"450 9TH ST
SAN FRANCISCO, CA 94103",17660,Manufacturing/Industrial Plant,http://propertymap.sfplanning.org/?&search=3525/008,1926,2020-04-01T00:00:00.000,Upcoming,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,,,,,,,,,,24.4,49.9,,,29.8,1.7,28.5,54.2,,25.5,53.5,,,30.3,1.7,27.2,55.3,,34.8,60.5,,,38.4,2.2,43.6,69.7,,34.6,60.9,,,38.3,2.2,31.1,57.3,,,,,,,,,,,,,,,,,,
3525/010,460 9TH ST,460 9TH ST,94103,"460 9TH ST
SAN FRANCISCO, CA 94103",15227,Distribution Center,http://propertymap.sfplanning.org/?&search=3525/010,1927,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,85,9.5,26.3,-48.9,-48.9,10.4,0.7,9.8,26.6,81,10.6,28.8,-43.2,-43.2,12.9,0.8,11.5,29.6,79,10.8,30.4,-40.2,-40.2,12.7,0.8,11.1,30.3,78,10.8,30.9,-38.3,-38.3,12.8,0.8,11.1,30.4,80,11.1,30.4,-42.2,-42.2,12.9,0.8,11.1,30.8,,,,,,,,,,,,,,,,,,
3526/006,540 9TH ST,540 9TH ST,94103,"540 9TH ST
SAN FRANCISCO, CA 94103",42346,Retail Store,http://propertymap.sfplanning.org/?&search=3526/006,1945,2021-04-01T00:00:00.000,Upcoming,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,,,,,,,,,95,12.9,40.4,-60,-60,47.3,1.1,12.9,40.4,94,13.5,42.4,-57.9,-57.9,46.7,1.1,13.5,42.4,,16.5,51.7,-78.2,-78.2,56.9,1.3,15.9,49.9,,14.8,46.5,-80.4,-80.4,51.1,1.2,14.8,46.5,,,,,,,,,,,,,,,,,,
3526/011,540 Ninth Street Assoc,560 9TH ST,94103,"560 9TH ST
SAN FRANCISCO, CA 94103",13250,Office,http://propertymap.sfplanning.org/?&search=3526/011,1925,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,74,43.5,80.7,-25.1,-25.1,35.7,2.7,48.5,85.9,82,39,69.4,-34.3,-34.3,33.5,2.5,48.6,79.4,78,36.4,73.8,-30.2,-30.2,32,2.4,40.8,78.5,76,36.5,74.5,-28.2,-28.2,32.2,2.4,36.5,74.5,66,48.1,91.2,-17.5,-17.5,42.9,3.2,43.1,86,,,,,,,,,,,,,,,,,,
3526/013,Byer California - 1000 Brannan St.,1000 BRANNAN ST,94103,"1000 BRANNAN ST
SAN FRANCISCO, CA 94103",108000,Office,http://propertymap.sfplanning.org/?&search=3526/013,1924,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,85,35.1,105.7,-38.6,-38.6,282.1,2.6,35.3,105.9,80,39.5,116,-31.7,-31.7,356.2,3.3,39.5,116,75,45.5,125.1,-26.4,-26.4,374.6,3.5,45.5,125.1,88,39.6,97.2,-42.1,-42.1,308.8,2.9,39.6,97.2,95,33.3,85.1,-53.6,-53.6,264.7,2.5,31.7,83.4,96,32.6,84.9,-57,,277.23,,33.3,89.3,94,40.5,,-52.8,,323.68,,40.5,
3526/016,290 DIVISION ST,290 DIVISION ST,94103,"290 DIVISION ST
SAN FRANCISCO, CA 94103",38072,Other,http://propertymap.sfplanning.org/?&search=3526/016,1924,2021-04-01T00:00:00.000,Upcoming,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3527/001,1001 Brannan St.,1001 BRANNAN ST,94103,"1001 BRANNAN ST
SAN FRANCISCO, CA 94103",26000,Fitness Center/Health Club/Gym,http://propertymap.sfplanning.org/?&search=3527/001,1917,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,127.6,240.3,148.2,148.2,206.3,7.9,127.6,240.3,,107.1,234.7,142.4,142.4,199.1,7.7,106.7,233.5,,95.4,234.3,142,142,179.1,6.9,96,233.5,,99.9,247.4,155.6,155.6,188.3,7.2,101.7,245.5,,109.3,257.6,166.1,166.1,201.5,7.7,107.5,255.7,,121.7,288.2,73.9,,237.02,,122.4,289,,,,,,,,,
3528/001,1201 Bryant St,1201 BRYANT ST,94103,"1201 BRYANT ST
SAN FRANCISCO, CA 94103",105178,Other,http://propertymap.sfplanning.org/?&search=3528/001,1927,2021-04-01T00:00:00.000,Upcoming,Exempt,Vacancy,Exempt,Vacancy,Exempt,,Exempt,,Exempt,,Exempt,,Exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3529/050,Rainbow Grocery,1745 FOLSOM ST,94103,"1745 FOLSOM ST
SAN FRANCISCO, CA 94103",42675,Supermarket/Grocery Store,http://propertymap.sfplanning.org/?&search=3529/050,1940,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Exempt,SqFt Not Subject This Year,,135.6,315.3,-34.3,-34.3,277.7,9.1,137.6,317.4,,136.4,315.2,-34.3,-34.3,306.2,10,140.3,319.3,,144.6,326.4,-32,-32,307.4,10.1,149,331,,130.1,311.2,-35.2,-35.2,283.9,9.3,139.8,321.4,92,89.6,281.4,-31.7,-31.7,240.8,7.9,89.6,281.4,,92.8,310.1,-49.8,,257.92,,92.8,310.1,,,,,,,,,
3529/051,OfficeMax Store 582,1750 HARRISON ST.,94103,"1750 Harrison St
SAN FRANCISCO, CA 94103",23520,Retail Store,http://propertymap.sfplanning.org/?&search=3529/051,1996,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,49.1,153.6,34.3,34.3,87.4,3.7,49.1,153.6,,49.5,155.2,35.6,35.6,100.9,4.3,49.5,155.2,,69.7,218.7,91.1,91.1,133.6,5.7,68.3,214.5,,70.3,219.8,92,92,134.5,5.7,63.9,199.7,,54.6,170.7,49.1,49.1,104.5,4.4,54.5,170.6,,,,,,,,,,,,,,,,,,
3531/027,195 ERIE ST,195 ERIE ST,94103,"195 ERIE ST
SAN FRANCISCO, CA 94103",20110,Mixed Use Property,http://propertymap.sfplanning.org/?&search=3531/027,1953,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,35.2,110.5,-10.2,-10.2,53.7,2.7,35.2,110.5,,35.1,110.1,-10.6,-10.6,61.2,3,34.9,109.6,,35.2,110.5,-10.2,-10.2,57.7,2.9,34.8,109.1,,33.7,105.8,-14.1,-14.1,55.3,2.7,33.7,105.8,,33.2,104.1,-15.3,-15.4,58.6,2.9,33.2,104.1,,,,,,,,,,,,,,,,,,
3531/028,205 13th Street,1717 MISSION ST,94103,"1717 MISSION ST
SAN FRANCISCO, CA 94103",97142,Office,http://propertymap.sfplanning.org/?&search=3531/028,1952,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Insufficient Data,,Violation - Did Not Report,,100,15.9,44.4,-77.3,-77.3,111.2,1.1,15.9,44.4,100,15.5,45.7,-76.3,-76.3,126,1.3,15.8,46.8,100,20.8,53.3,-72.4,-72.4,148.8,1.5,,,99,23.8,58.6,-69.4,-69.4,167.1,1.7,23.6,57,100,19.1,48.4,-75.5,-75.5,111.4,1.4,18.4,47.7,,,,,,,,,,,,,,,,,,
3532/035,Valencia Street LLC,225 VALENCIA ST,94103,"225 VALENCIA ST
SAN FRANCISCO, CA 94103",12080,Office,http://propertymap.sfplanning.org/?&search=3532/035,1907,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Exempt,Vacancy,Exempt,Change in Ownership,Exempt,Change in Ownership,Complied,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,98,30.2,79,-64,-64,25.6,2.1,31.4,80.2,97,34.3,90.4,-58.4,-58.4,32.6,2.7,36.8,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3532/091,245 VALENCIA ST,245 VALENCIA ST,94103,"245 VALENCIA ST
SAN FRANCISCO, CA 94103",39000,Worship Facility,http://propertymap.sfplanning.org/?&search=3532/091,1995,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,8,60.5,104,79.8,79.8,142.4,3.7,62.6,106.3,8,61.6,99.6,78.8,78.8,149.4,3.8,67.8,106.1,11,58.9,92.3,65.4,65.4,138.2,3.5,58.9,92.3,64,39.3,41.3,-15.4,-15.4,81.5,2.1,42.9,45,76,37.4,39.3,-29.5,-29.5,77.5,2,34.4,36.1,,,,,,,,,,,,,,,,,,
3533/007,San Francisco Friends School,250 VALENCIA ST,94103,"250 VALENCIA ST
SAN FRANCISCO, CA 94103",71874,K-12 School,http://propertymap.sfplanning.org/?&search=3533/007,1907,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Exempt,New Construction,Complied,,Complied,,Violation - Did Not Report,,100,19.1,38.5,-72,-72,87.5,1.2,19.9,39.3,100,19.3,42.8,-67.2,-67.2,99.7,1.4,19.9,43.4,100,20.4,47.8,-64.7,-64.7,103.6,1.4,21.2,48.7,99,24.6,56.7,-58.6,-58.6,124,1.7,27.2,59.4,,24.4,54.5,-61.5,-61.5,121.4,1.7,23.2,53.2,,21.8,51.9,-62.4,,117.62,,19.1,46.9,,23.3,,-62.1,,124.65,,23.3,
3534/057,1975 MARKET ST,1975 MARKET ST,94103,"1975 MARKET ST
SAN FRANCISCO, CA 94103",10534,Retail Store,http://propertymap.sfplanning.org/?&search=3534/057,1922,2013-04-01T00:00:00.000,Did Not Comply,Complied,,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,24,112.3,261.8,38.9,38.9,79.3,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3536/001,Safeway 1507,2020 MARKET ST,94114,"2020 MARKET ST
SAN FRANCISCO, CA 94114",124196,Supermarket/Grocery Store,http://propertymap.sfplanning.org/?&search=3536/001,1954,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,45,208,536.6,2.6,2.6,931.4,14.5,208,536.6,37,216.2,551.5,8,8,1072.6,16.7,216.2,551.5,23,254.8,614.2,19.7,19.7,1171.5,18.2,257.3,613.6,34,220.5,562.4,10.7,10.7,1040.7,16.2,224.8,560.4,36,236.3,578.5,8.8,8.8,1094.2,17,230.7,572.6,70,194,463.3,-12.9,-12.9,888.2,13.8,187.5,456.4,44,242.2,,3.9,,1228.03,,246.6,
3543/003B,2145 Market Street,2145 MARKET ST,94114,"2145 Market St
SAN FRANCISCO, CA 94114",47407,Mixed Use Property,http://propertymap.sfplanning.org/?&search=3543/003B,1949,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,89,252.3,104.9,104.9,204.2,6.5,89.5,253.7,,87.5,249.4,102.5,102.5,227.2,7.2,86.9,247.4,,93.2,269.1,118.6,118.6,230.3,7.3,91.4,263.4,,89.9,269.1,118.5,118.5,226.2,7.2,86.6,257.4,,78.4,246.3,100,100.1,218.2,6.9,79.8,250.6,,77.7,244.1,98.2,,216.2,,79.4,249.4,,,,,,,,,
3547/001,SF Armory,1800 MISSION ST,94103,"1800 MISSION ST
SAN FRANCISCO, CA 94103",200000,Mixed Use Property,http://propertymap.sfplanning.org/?&search=3547/001,1900,2018-04-01T00:00:00.000,Did Not Comply,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,,,,,,,,100,13.4,36.5,-76.6,-76.6,214.5,1.1,13.5,36.8,100,14.3,38.6,-75.4,-75.4,215.7,1.1,14.3,38.6,100,16.2,44,-72,-72,245.3,1.2,16.3,44.1,,16.9,46.1,-45.8,-45.8,504.3,2.5,16.6,45.4,,15.5,45.4,-66.3,,493.4,,15.4,45.3,,14.3,,-54.1,,468.79,,14.3,
3547/002,1850 MISSION ST,1850 MISSION ST,94103,"1850 MISSION ST
SAN FRANCISCO, CA 94103",23247,Vocational School,http://propertymap.sfplanning.org/?&search=3547/002,1946,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,31.2,80.7,-42.9,-42.9,40.9,2.2,32.8,82.4,,31.3,83.4,-41.1,-41.1,46.4,2.5,33.6,86.5,,30.2,82.5,-41.7,-41.7,43,2.3,30.7,82.1,,28.9,79.8,-43.6,-43.6,41.4,2.2,30.6,79.9,,31.2,80.8,-42.9,-42.9,43.3,2.3,30.3,80.3,,,,,,,,,,,,,,,,,,
3548/031,Walden House,1885 MISSION ST,94103,"1885 MISSION ST
SAN FRANCISCO, CA 94103",25543,Office,http://propertymap.sfplanning.org/?&search=3548/031,1925,2019-04-01T00:00:00.000,Upcoming,Violation - Did Not Report,,Exempt,,Exempt,Vacancy,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,18.1,45.5,-73,-73,33.8,1.3,18.1,45.5,98,24.8,57.9,-64.7,-64.7,47.1,1.8,23.5,56.5,98,27.3,59.4,-63.8,,50.1,,26.3,58.3,,,,,,,,,
3574/009,2140 FOLSOM ST,2140 FOLSOM ST,94110,"2140 FOLSOM ST
SAN FRANCISCO, CA 94110",35952,Other,http://propertymap.sfplanning.org/?&search=3574/009,1916,2014-04-01T00:00:00.000,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3549/083,70400357 -- Folsom Str.,1800 FOLSOM ST,94103,"1800 FOLSOM ST
SAN FRANCISCO, CA 94103",62630,Supermarket/Grocery Store,http://propertymap.sfplanning.org/?&search=3549/083,1986,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,72,125.1,362.1,-14.2,-14.2,573.4,9.2,125.1,362.1,61,131.7,382.1,-7.1,-7.1,684,10.9,131.7,382.1,59,133.8,388.4,-6.2,-6.2,656.3,10.5,133.8,388.4,54,141.5,398.8,-2.8,-2.8,683.8,10.9,141.5,398.8,57,152,407,-5,-5,716.3,11.4,152,407,51,149.6,439.8,-1.2,,765.14,,149.6,439.8,,,,,,,,,
3550/001,1 14th Street,1 14TH ST,94103,"1 14TH ST
SAN FRANCISCO, CA 94103",20000,Non-Refrigerated Warehouse,http://propertymap.sfplanning.org/?&search=3550/001,1924,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,84,12.1,21.1,-53.2,-53.2,14.5,0.7,12.1,21.1,87,12.1,22.7,-52.2,-52.2,15,0.8,12.1,22.7,85,13.2,23.8,-49.5,-49.5,16.8,0.8,13.2,23.8,84,13.3,23.9,-47.5,-47.5,16.8,0.8,12.5,23.1,88,13.2,23.8,-53.2,-53.1,16.7,0.8,10.8,21.3,,,,,,,,,,,,,,,,,,
3550/001B,1820 HARRISON ST,1818 HARRISON ST,94103,"1818 HARRISON ST
SAN FRANCISCO, CA 94103",18360,Other,http://propertymap.sfplanning.org/?&search=3550/001B,1924,2020-04-01T00:00:00.000,Upcoming,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3550/012,25 14th Street,25 14TH ST,94103,"25 14TH ST
SAN FRANCISCO, CA 94103",34000,Other,http://propertymap.sfplanning.org/?&search=3550/012,1924,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Exempt,SqFt Not Subject This Year,,106.7,193.1,56.8,56.8,222.7,6.5,110.5,197,,92.6,178.2,44.8,44.8,211.6,6.2,103,189.2,,116.1,215.2,74.8,74.8,252.8,7.4,122.6,222.1,,98.6,201.9,64,64,223.6,6.6,103.7,202,,85.5,176.5,43.3,43.3,194.5,5.7,80.9,173.6,,,,,,,,,,,,,,,,,,
3550/020,1830 Harrison,1830 HARRISON ST,94103,"1830 HARRISON ST
SAN FRANCISCO, CA 94103",16710,Distribution Center,http://propertymap.sfplanning.org/?&search=3550/020,1906,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,32.8,81.3,35.6,35.6,37.6,2.3,33.4,82,,31.3,82.1,36.9,36.9,41,2.5,33,83.8,,31.6,81.7,36.3,36.3,39.1,2.3,33.6,83.9,,33,88.1,46.8,46.8,41.4,2.5,35.7,90.8,,41.7,101.6,69.5,69.5,50.2,3,40.7,101.6,,,,,,,,,,,,,,,,,,
3552/012,1990 FOLSOM ST,1990 FOLSOM ST,94103,"1990 FOLSOM ST
SAN FRANCISCO, CA 94103",12016,Self-Storage Facility,http://propertymap.sfplanning.org/?&search=3552/012,1963,2021-04-01T00:00:00.000,Upcoming,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,6.6,19.9,-58.1,-58.1,6.3,0.5,6.6,19.9,,15.2,37.5,-21.3,-21.3,13.2,1.1,15.2,37.5,,20.3,46.1,-3.2,-3.2,17,1.4,20.3,46.1,,,,,,,,,,,,,,,,,,
